"","Precision","Recall","ModelSize","Model"
"1",0.416666666666667,0.833333333333333,12,"binomialRF"
"2",0.8,0.666666666666667,5,"VSURF"
"3",1,1,6,"Boruta"
"4",0.545454545454545,1,11,"VarSelRF"
"5",NA,0,0,"PIMP"
"6",0.162162162162162,1,37,"AUCRF"
"7",0.0320855614973262,1,187,"Perm"
"8",0.666666666666667,1,9,"EFS"
"9",0.115384615384615,1,52,"RFE"
"10",0.166666666666667,1,36,"Vita"
"11",0.5,0.833333333333333,10,"binomialRF"
"12",0.6,0.5,5,"VSURF"
"13",1,1,6,"Boruta"
"14",0.666666666666667,1,9,"VarSelRF"
"15",NA,0,0,"PIMP"
"16",0.545454545454545,1,11,"AUCRF"
"17",0.0310880829015544,1,193,"Perm"
"18",1,1,6,"EFS"
"19",0.111111111111111,0.833333333333333,45,"RFE"
"20",0.230769230769231,1,26,"Vita"
"21",0.3125,0.833333333333333,16,"binomialRF"
"22",0.75,1,8,"VSURF"
"23",1,1,6,"Boruta"
"24",0.857142857142857,1,7,"VarSelRF"
"25",NA,0,0,"PIMP"
"26",0.545454545454545,1,11,"AUCRF"
"27",0.03,1,200,"Perm"
"28",0.5,1,12,"EFS"
"29",0.0491803278688525,0.5,61,"RFE"
"30",0.146341463414634,1,41,"Vita"
"31",0.333333333333333,0.666666666666667,12,"binomialRF"
"32",0.857142857142857,1,7,"VSURF"
"33",1,1,6,"Boruta"
"34",0.857142857142857,1,7,"VarSelRF"
"35",NA,0,0,"PIMP"
"36",0.260869565217391,1,23,"AUCRF"
"37",0.0317460317460317,1,189,"Perm"
"38",0.75,1,8,"EFS"
"39",0.12,1,50,"RFE"
"40",0.122448979591837,1,49,"Vita"
"41",0.375,1,16,"binomialRF"
"42",0.714285714285714,0.833333333333333,7,"VSURF"
"43",0.857142857142857,1,7,"Boruta"
"44",0.545454545454545,1,11,"VarSelRF"
"45",NA,0,0,"PIMP"
"46",0.428571428571429,1,14,"AUCRF"
"47",0.0327868852459016,1,183,"Perm"
"48",0.6,1,10,"EFS"
"49",0.0526315789473684,0.5,57,"RFE"
"50",0.171428571428571,1,35,"Vita"
"51",0.5,1,12,"binomialRF"
"52",0.555555555555556,0.833333333333333,9,"VSURF"
"53",1,1,6,"Boruta"
"54",0.545454545454545,1,11,"VarSelRF"
"55",NA,0,0,"PIMP"
"56",0.260869565217391,1,23,"AUCRF"
"57",0.0363636363636364,1,165,"Perm"
"58",0.6,1,10,"EFS"
"59",0.111111111111111,0.833333333333333,45,"RFE"
"60",0.13953488372093,1,43,"Vita"
"61",0.352941176470588,1,17,"binomialRF"
"62",0.5,1,12,"VSURF"
"63",0.666666666666667,1,9,"Boruta"
"64",0.545454545454545,1,11,"VarSelRF"
"65",NA,0,0,"PIMP"
"66",0.206896551724138,1,29,"AUCRF"
"67",0.0344827586206897,1,174,"Perm"
"68",0.666666666666667,1,9,"EFS"
"69",0.125,0.833333333333333,40,"RFE"
"70",0.0895522388059701,1,67,"Vita"
"71",0.294117647058824,0.833333333333333,17,"binomialRF"
"72",0.714285714285714,0.833333333333333,7,"VSURF"
"73",1,1,6,"Boruta"
"74",0.857142857142857,1,7,"VarSelRF"
"75",NA,0,0,"PIMP"
"76",0.545454545454545,1,11,"AUCRF"
"77",0.0342857142857143,1,175,"Perm"
"78",0.666666666666667,1,9,"EFS"
"79",0.0714285714285714,0.666666666666667,56,"RFE"
